ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
2110,2,Complete,103,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,164659,FA-18D,F-18 LEGACY,FIXED WING,8/3/2015 18:15,8,PANEL REPAIR
2113,2,Complete,102,SQD-48,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,167018,MH-60R,H-60,ROTOR,8/4/2015 23:51,30,Crack
2115,1,Complete,102,SQD-1,Atsugi,Japan,PACIFIC,139.482422,35.569842,166890,FA-18F,F-18 SUPERS,FIXED WING,8/6/2015 2:13,93,
2116,1,Passed for Action,102,SQD-115,"Ali Al Salem AFB, Kuwait",Kuwait,CENTCOM,47.520832,29.346945,168008,MV-22B,V-22,ROTOR,8/6/2015 19:25,108,
2124,2,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165529,FA-18D,F-18 LEGACY,FIXED WING,8/12/2015 23:46,112,PANEL REPAIR
2125,2,Complete,103,SQD-109,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,164969,FA-18C,F-18 LEGACY,FIXED WING,8/13/2015 18:35,56,
2137,2,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,165686,FA-18D,F-18 LEGACY,FIXED WING,8/24/2015 23:49,32,FUEL CELL
2139,2,Complete,102,SQD-101,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,165687,FA-18D,F-18 LEGACY,FIXED WING,8/25/2015 18:21,46,FUEL CELL
2140,2,P&E Closing Action,102,SQD-109,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,163175,FA-18A,F-18 LEGACY,FIXED WING,8/26/2015 18:52,45,
2142,1,Complete,102,SQD-6,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,164764,MH-53E,H-53,ROTOR,8/31/2015 1:03,90,
2143,2,Complete,102,SQD-23,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,168414,UH-1Y,H-1,ROTOR,8/31/2015 23:53,31,Corrosion
2145,2,Passed for Action,102,SQD-63,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,166932,EA-18G,EA-18,FIXED WING,9/7/2015 19:06,14,PANEL REPAIR
2146,2,Passed for Action,102,SQD-70,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,166918,FA-18F,F-18 SUPERS,FIXED WING,9/7/2015 19:08,36,PANEL REPAIR
2147,2,Complete,102,SQD-6,Bahrain,Bahrain,CENTCOM,50.5577,26.0667,164764,MH-53E,H-53,ROTOR,9/7/2015 20:35,49,Corrosion
2148,2,P&E Closing Action,102,SQD-109,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,163137,FA-18A,F-18 LEGACY,FIXED WING,9/7/2015 20:37,102,
2153,2,Passed for Action,102,SQD-73,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,166866,FA-18E,F-18 SUPERS,FIXED WING,9/13/2015 18:58,25,PANEL REPAIR
2157,2,Complete,102,SQD-37,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,167889,MH-60S,H-60,ROTOR,9/16/2015 18:13,117,
2165,2,P&E Closing Action,102,SQD-112,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,167982,KC-130J,C-130,FIXED WING,9/24/2015 19:39,79,Corrosion
2167,1,Squadron Cancellation,102,SQD-23,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,160744,AH-1W,H-1,ROTOR,9/27/2015 20:14,11,
