ISR_Number,A/C Status,ISR Status,Pri,Squadron,Location,State/Country,Region,Longitude,Latitude,RCN,BUNO,TMS,PLATFORM,TYPE,Date Created,TAT,Repair Category
1621,2,Complete,102,SQD-51,USS Vinson,CVN,AFLOAT,64.618,2.8234,,167068,MH-60R,H-60,ROTOR,10/27/2014 19:15,18,MINOR DEFECT
1622,1,Passed for Action,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,163168,FA-18A,F-18 LEGACY,FIXED WING,10/27/2014 20:11,24,INSPECTION
1623,2,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164653,FA-18D,F-18 LEGACY,FIXED WING,10/27/2014 20:15,56,PANEL REPAIR
1624,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164660,FA-18C,F-18 LEGACY,FIXED WING,10/27/2014 20:26,56,PANEL REPAIR
1625,1,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164242,FA-18C,F-18 LEGACY,FIXED WING,10/28/2014 18:48,12,FUEL CELL
1626,2,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,.,163168,FA-18A,F-18 LEGACY,FIXED WING,10/28/2014 21:32,56,CRACK
1627,2,Deleted,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164654,FA-18C,F-18 LEGACY,FIXED WING,10/29/2014 23:31,11,MINOR DEFECT
1628,2,Complete,102,SQD-9,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,162518,CH-53E,H-53,ROTOR,10/29/2014 23:35,22,BUSHING REPAIR
1629,2,Cancelled,102,SQD-67,USS Vinson,CVN,AFLOAT,64.618,2.8234,,165811,E-2C,E-2/C-2,FIXED WING,10/29/2014 23:40,29,CORROSION
1630,1,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,162431,FA-18A,F-18 LEGACY,FIXED WING,10/29/2014 23:43,30,MINOR DEFECT
1631,2,Cancelled,103,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,163168,FA-18A,F-18 LEGACY,FIXED WING,10/29/2014 23:47,53,CRACK
1632,2,Complete,102,SQD-72,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164654,FA-18C,F-18 LEGACY,FIXED WING,10/30/2014 22:47,25,MINOR DEFECT
1633,2,Complete,102,SQD-105,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,.,163142,FA-18A,F-18 LEGACY,FIXED WING,10/30/2014 22:53,52,CRACK
1634,1,Complete,102,SQD-34,USS Vinson,CVN,AFLOAT,64.618,2.8234,,168536,MH-60S,H-60,ROTOR,11/2/2014 17:08,21,BUSHING REPAIR
1637,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164278,FA-18C,F-18 LEGACY,FIXED WING,11/2/2014 17:39,24,BUSHING REPAIR
1638,2,Complete,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,167819,MH-60S,H-60,ROTOR,11/2/2014 22:11,26,BUSHING REPAIR
1639,2,Complete,102,SQD-51,USS Vinson,CVN,AFLOAT,64.618,2.8234,,168080,MH-60R,H-60,ROTOR,11/3/2014 17:41,7,BUSHING REPAIR
1640,2,Complete,102,SQD-120,MCAS Futenma JP,Okinawa,PACIFIC,127.776381,26.290622,,162550,AH-1W,H-1,ROTOR,11/4/2014 0:47,15,MINOR DEFECT
1641,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164210,FA-18C,F-18 LEGACY,FIXED WING,11/11/2014 19:41,25,PANEL REPAIR
1642,2,Cancelled,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,,166342,MH-60S,H-60,ROTOR,11/11/2014 19:46,12,CORROSION
1643,2,Cancelled,102,SQD-37,Andersen AB Guam,Guam,PACIFIC,144.929495,13.582484,.,166342,MH-60S,H-60,ROTOR,11/11/2014 20:15,29,CORROSION
1644,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,.,164200,FA-18C,F-18 LEGACY,FIXED WING,11/11/2014 20:52,41,CRACK
1645,2,Cancelled,102,SQD-70,NIPPI,Japan,PACIFIC,139.482422,35.569842,.,166917,FA-18F,F-18 SUPERS,FIXED WING,11/11/2014 21:01,44,CRACK
1646,1,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164025,FA-18C,F-18 LEGACY,FIXED WING,11/11/2014 21:08,13,MINOR DEFECT
1647,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164246,FA-18C,F-18 LEGACY,FIXED WING,11/11/2014 21:16,55,CRACK
1648,2,Complete,102,SQD-87,USS Vinson,CVN,AFLOAT,64.618,2.8234,,164278,FA-18C,F-18 LEGACY,FIXED WING,11/11/2014 21:23,56,PANEL REPAIR
1649,1,Passed for Action,102,SQD-73,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166861,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 20:18,9,MINOR DEFECT
1650,1,Passed for Action,102,SQD-79,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166911,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 20:21,14,MINOR DEFECT
1651,2,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164702,FA-18D,F-18 LEGACY,FIXED WING,11/12/2014 20:30,52,CRACK
1652,1,Complete,102,SQD-102,MCAS Iwakuni JP,Japan,PACIFIC,132.235007,34.147852,,164667,FA-18D,F-18 LEGACY,FIXED WING,11/12/2014 20:42,33,CRACK
1653,1,Passed for Action,102,SQD-79,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,166913,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 22:54,17,MINOR DEFECT
1654,1,Passed for Action,102,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,168362,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 23:00,9,MINOR DEFECT
1655,1,Passed for Action,102,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,168365,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 23:06,27,MINOR DEFECT
1656,1,Passed for Action,102,SQD-83,NAF Atsugi JP,Japan,PACIFIC,139.482422,35.569842,,168466,FA-18E,F-18 SUPERS,FIXED WING,11/12/2014 23:10,25,MINOR DEFECT
